maxmappingprobability,sample_id,dataset
0.17,P2S4_180131_052_A01,nms_fail
0.22,P2S4_180205_056_A01,nms_fail
0.14,P2S4_180312_051_A01,nms_fail
0.19,P2S4_180315_052_A01,nms_fail
0.25,P2S4_180321_052_A01,nms_fail
0.8,P2S4_180411_052_A01,nms_fail
0.48,P2S4_180411_055_A01,nms_fail
0.29,P2S4_180514_053_A01,nms_fail
0.33,P2S4_180518_051_A01,nms_fail
0.09,P2S4_180618_056_A01,nms_fail
0.15,P2S4_180724_051_A01,nms_fail
0.13,P2S4_180730_052_A01,nms_fail
0.22,P2S4_180730_056_A01,nms_fail
0.11,P2S4_180731_053_A01,nms_fail
0.25,P2S4_180807_051_A01,nms_fail
0.34,P8S4_171006_357_A01,nms_fail
0.27,P8S4_171012_351_A01,nms_fail
0.34,P8S4_171012_352_A01,nms_fail
0.32,P8S4_171020_351_A01,nms_fail
0.11,P8S4_171102_354_A01,nms_fail
0.15,P8S4_171107_352_A01,nms_fail
0.13,P8S4_171110_357_A01,nms_fail
0.37,P8S4_171114_354_A01,nms_fail
0.23,P8S4_171114_355_A01,nms_fail
0.14,P8S4_171115_351_A01,nms_fail
0.23,P8S4_171115_352_A01,nms_fail
0.6,P8S4_171115_356_A01,nms_fail
0.3,P8S4_180108_352_A01,nms_fail
0.18,P8S4_180111_351_A01,nms_fail
0.44,P8S4_180122_353_A01,nms_fail
0.22,P8S4_180205_351_A01,nms_fail
0.22,P8S4_180221_355_A01,nms_fail
0.72,P8S4_180321_352_A01,nms_fail
0.25,P8S4_180321_355_A01,nms_fail
0.23,P8S4_180330_352_A01,nms_fail
0.27,P8S4_180402_351_A01,nms_fail
0.18,P8S4_180402_352_A01,nms_fail
0.34,P8S4_180402_355_A01,nms_fail
0.62,P8S4_180403_351_A01,nms_fail
0.57,P8S4_180404_357_A01,nms_fail
0.16,P8S4_180406_351_A01,nms_fail
0.12,P8S4_180406_352_A01,nms_fail
0.11,P8S4_180406_353_A01,nms_fail
0.45,P8S4_180411_358_A01,nms_fail
0.8,P8S4_180427_357_A01,nms_fail
0.13,P8S4_180502_352_A01,nms_fail
0.24,P8S4_180627_355_A01,nms_fail
0.14,P8S4_180830_354_A01,nms_fail
0.5,P8S4_180914_356_A01,nms_fail
0.32,P8S4_190702_355_A01,nms_fail
0.15,P8S4_191126_351_A01,nms_fail
0.15,P8S4_201008_355_A01,nms_fail
0.19,P9S4_171002_403_A01,nms_fail
0.23,P9S4_171003_409_A01,nms_fail
0.16,P9S4_171003_410_A01,nms_fail
0.33,P9S4_171004_408_A01,nms_fail
0.21,P9S4_171024_401_A01,nms_fail
0.31,P9S4_171024_405_A01,nms_fail
0.3,P9S4_171026_401_A01,nms_fail
0.15,P9S4_171027_401_A01,nms_fail
0.13,P9S4_171206_401_A01,nms_fail
0.17,P9S4_171208_402_A01,nms_fail
0.18,P9S4_171211_407_A01,nms_fail
0.16,P9S4_180109_402_A01,nms_fail
0.31,P9S4_180110_401_A01,nms_fail
0.16,P9S4_180125_401_A01,nms_fail
0.13,P9S4_180307_403_A01,nms_fail
0.21,P9S4_180313_405_A01,nms_fail
0.39,P9S4_180316_403_A01,nms_fail
0.22,P9S4_180403_406_A01,nms_fail
0.2,P9S4_180406_404_A01,nms_fail
0.21,P9S4_180416_406_A01,nms_fail
0.21,P9S4_180424_402_A01,nms_fail
0.67,P9S4_180806_402_A01,nms_fail
0.2,PAS4_171110_451_A01,nms_fail
0.29,PAS4_171208_451_A01,nms_fail
0.81,PAS4_180110_454_A01,nms_fail
0.13,PAS4_180112_456_A01,nms_fail
0.08,PAS4_180122_451_A01,nms_fail
0.21,PAS4_180125_452_A01,nms_fail
0.16,PAS4_180202_451_A01,nms_fail
0.09,PAS4_180205_453_A01,nms_fail
0.28,PAS4_180227_451_A01,nms_fail
0.45,PAS4_180306_451_A01,nms_fail
0.21,PAS4_180319_451_A01,nms_fail
0.24,PAS4_180327_453_A01,nms_fail
0.53,PAS4_180419_451_A01,nms_fail
0.34,PAS4_180425_454_A01,nms_fail
0.98,PAS4_180518_452_A01,nms_fail
0.66,PAS4_180529_455_A01,nms_fail
0.17,PAS4_180606_452_A01,nms_fail
0.19,PAS4_180615_456_A01,nms_fail
0.18,PAS4_180618_451_A01,nms_fail
0.27,PAS4_180626_452_A01,nms_fail
0.14,PAS4_180706_455_A01,nms_fail
0.09,PAS4_180716_452_A01,nms_fail
0.98,PAS4_180718_453_A01,nms_fail
0.11,PAS4_180718_454_A01,nms_fail
0.23,PAS4_180720_453_A01,nms_fail
0.18,PAS4_180723_451_A01,nms_fail
0.21,PAS4_180731_453_A01,nms_fail
0.73,PAS4_180828_454_A01,nms_fail
0.31,PAS4_180910_451_A01,nms_fail
0.29,PAS4_180911_454_A01,nms_fail
0.55,PAS4_180925_453_A01,nms_fail
0.46,PAS4_181012_454_A01,nms_fail
0.25,PAS4_181218_451_A01,nms_fail
0.57,PAS4_190219_455_A01,nms_fail
0.27,PAS4_190522_455_A01,nms_fail
0.31,PBS4_171011_501_A01,nms_fail
0.15,PBS4_171026_501_A01,nms_fail
0.15,PBS4_171115_502_A01,nms_fail
0.32,PBS4_171115_506_A01,nms_fail
0.73,PBS4_171116_504_A01,nms_fail
0.2,PBS4_171201_503_A01,nms_fail
0.32,PBS4_171201_507_A01,nms_fail
0.26,PBS4_180117_502_A01,nms_fail
0.37,PBS4_180205_504_A01,nms_fail
0.32,PBS4_180212_501_A01,nms_fail
0.37,PBS4_180213_502_A01,nms_fail
0.34,PBS4_180227_502_A01,nms_fail
0.33,PBS4_180319_505_A01,nms_fail
0.2,PBS4_180320_501_A01,nms_fail
0.17,PBS4_180403_503_A01,nms_fail
0.22,PBS4_180403_504_A01,nms_fail
0.12,PBS4_180403_507_A01,nms_fail
0.2,PBS4_180406_506_A01,nms_fail
0.81,PBS4_180409_501_A01,nms_fail
0.34,PBS4_180418_504_A01,nms_fail
0.32,PBS4_180418_505_A01,nms_fail
0.21,PBS4_180501_502_A01,nms_fail
0.31,PBS4_180502_504_A01,nms_fail
0.14,PBS4_180524_507_A01,nms_fail
0.52,PBS4_180601_501_A01,nms_fail
0.15,PBS4_180604_502_A01,nms_fail
0.22,PBS4_180604_503_A01,nms_fail
0.18,PBS4_180620_501_A01,nms_fail
0.16,PBS4_180703_505_A01,nms_fail
0.11,PBS4_180706_505_A01,nms_fail
0.27,PBS4_180816_502_A01,nms_fail
0.34,PBS4_180817_505_A01,nms_fail
0.31,PBS4_180830_503_A01,nms_fail
0.45,PBS4_180928_502_A01,nms_fail
0.2,PBS4_181002_505_A01,nms_fail
0.24,PBS4_181002_516_A01,nms_fail
0.16,PBS4_181016_501_A01,nms_fail
0.13,PBS4_181115_502_A01,nms_fail
0.28,PES4_180817_652_A01,nms_fail
0.33,PES4_190823_654_A01,nms_fail
0.18,PXS4_180717_903_A01,nms_fail
0.33,PXS4_180723_901_A01,nms_fail
0.21,P1S4_180417_003_A01,nms_fail
0.23,PAS4_190401_452_A01,nms_fail
0.25,P2S4_171129_051_A01,nms_fail
0.33,P1S4_180205_004_A01,nms_fail
0.42,P1S4_180213_001_A01,nms_fail
0.17,P1S4_180302_002_A01,nms_fail
0.26,P1S4_180306_001_A01,nms_fail
0.77,P1S4_180307_002_A01,nms_fail
0.36,P1S4_180309_001_A01,nms_fail
0.2,P1S4_180320_003_A01,nms_fail
0.48,P1S4_180323_002_A01,nms_fail
0.36,P1S4_180403_001_A01,nms_fail
0.74,P1S4_180409_002_A01,nms_fail
0.13,P1S4_180411_003_A01,nms_fail
0.51,P1S4_180716_005_A01,nms_fail
0.43,P1S4_181210_002_A01,nms_fail
0.22,P1S4_190614_001_A01,nms_fail
0.21,P1S4_190617_002_A01,nms_fail
0.37,P1S4_190930_001_A01,nms_fail
0.52,P1S4_191004_002_A01,nms_fail
0.31,P2S4_171018_051_A01,nms_fail
0.31,P2S4_171018_052_A01,nms_fail
0.41,P2S4_171019_052_A01,nms_fail
0.34,P2S4_171023_055_A01,nms_fail
0.48,P2S4_171222_051_A01,nms_fail
0.12,P2S4_180108_055_A01,nms_fail
0.34,P2S4_180108_056_A01,nms_fail
0.42,P2S4_180205_053_A01,nms_fail
0.17,P2S4_180305_054_A01,nms_fail
0.95,P2S4_180306_053_A01,nms_fail
0.12,P2S4_180312_052_A01,nms_fail
0.77,P2S4_180314_051_A01,nms_fail
0.56,P2S4_180327_051_A01,nms_fail
0.31,P2S4_180413_056_A01,nms_fail
0.33,P2S4_180423_052_A01,nms_fail
0.46,P2S4_180619_053_A01,nms_fail
0.14,P2S4_180706_053_A01,nms_fail
0.12,P2S4_180730_054_A01,nms_fail
0.47,P2S4_180731_054_A01,nms_fail
0.15,P2S4_180914_052_A01,nms_fail
0.3,P8S4_171004_356_A01,nms_fail
0.12,P8S4_171006_352_A01,nms_fail
0.26,P8S4_171006_356_A01,nms_fail
0.18,P8S4_171010_356_A01,nms_fail
0.63,P8S4_171024_357_A01,nms_fail
0.18,P8S4_171108_354_A01,nms_fail
0.34,P8S4_171110_351_A01,nms_fail
0.65,P8S4_171115_354_A01,nms_fail
0.39,P8S4_171117_351_A01,nms_fail
0.59,P8S4_171211_352_A01,nms_fail
0.57,P8S4_171211_354_A01,nms_fail
0.3,P8S4_180102_352_A01,nms_fail
0.36,P8S4_180110_353_A01,nms_fail
0.25,P8S4_180118_352_A01,nms_fail
0.17,P8S4_180205_352_A01,nms_fail
0.47,P8S4_180228_355_A01,nms_fail
0.15,P8S4_180302_356_A01,nms_fail
0.48,P8S4_180305_357_A01,nms_fail
0.18,P8S4_180306_352_A01,nms_fail
0.21,P8S4_180307_351_A01,nms_fail
0.31,P8S4_180307_354_A01,nms_fail
0.77,P8S4_180307_357_A01,nms_fail
0.3,P8S4_180409_355_A01,nms_fail
0.34,P8S4_180626_354_A01,nms_fail
0.11,P8S4_190919_352_A01,nms_fail
0.4,P8S4_191017_351_A01,nms_fail
0.16,P8S4_191101_352_A01,nms_fail
0.19,P8S4_191121_351_A01,nms_fail
0.11,P8S4_191126_352_A01,nms_fail
0.2,P8S4_191220_351_A01,nms_fail
0.26,P8S4_200709_356_A01,nms_fail
0.13,P9S4_171002_404_A01,nms_fail
0.26,P9S4_171016_406_A01,nms_fail
0.29,P9S4_171020_403_A01,nms_fail
0.65,P9S4_171026_403_A01,nms_fail
0.53,P9S4_171108_405_A01,nms_fail
0.24,P9S4_171113_401_A01,nms_fail
0.55,P9S4_171204_403_A01,nms_fail
0.45,P9S4_171212_403_A01,nms_fail
0.4,P9S4_180122_403_A01,nms_fail
0.25,P9S4_180207_405_A01,nms_fail
0.17,P9S4_180207_407_A01,nms_fail
0.2,P9S4_180228_402_A01,nms_fail
0.16,P9S4_180302_404_A01,nms_fail
0.19,P9S4_180307_402_A01,nms_fail
0.19,P9S4_180316_401_A01,nms_fail
0.13,P9S4_180423_406_A01,nms_fail
0.33,P9S4_180619_403_A01,nms_fail
0.17,P9S4_180619_404_A01,nms_fail
0.7,P9S4_180807_413_A01,nms_fail
0.15,PAS4_171016_451_A01,nms_fail
0.8,PAS4_171020_451_A01,nms_fail
0.16,PAS4_171024_452_A01,nms_fail
0.31,PAS4_171027_451_A01,nms_fail
0.31,PAS4_171115_452_A01,nms_fail
0.15,PAS4_171206_452_A01,nms_fail
0.21,PAS4_171222_451_A01,nms_fail
0.17,PAS4_180110_453_A01,nms_fail
0.15,PAS4_180112_452_A01,nms_fail
0.12,PAS4_180118_453_A01,nms_fail
0.24,PAS4_180131_451_A01,nms_fail
0.15,PAS4_180206_454_A01,nms_fail
1,PAS4_180228_452_A01,nms_fail
0.55,PAS4_180228_454_A01,nms_fail
0.47,PAS4_180307_451_A01,nms_fail
0.34,PAS4_180307_452_A01,nms_fail
0.36,PAS4_180315_453_A01,nms_fail
0.47,PAS4_180316_452_A01,nms_fail
0.46,PAS4_180321_452_A01,nms_fail
0.53,PAS4_180406_452_A01,nms_fail
0.79,PAS4_180425_453_A01,nms_fail
0.16,PAS4_180504_451_A01,nms_fail
0.12,PAS4_180514_451_A01,nms_fail
0.2,PAS4_180619_454_A01,nms_fail
0.3,PAS4_180622_455_A01,nms_fail
0.29,PAS4_180703_455_A01,nms_fail
0.12,PAS4_180706_452_A01,nms_fail
0.14,PAS4_180730_454_A01,nms_fail
0.21,PAS4_180822_455_A01,nms_fail
0.2,PAS4_180822_456_A01,nms_fail
0.75,PAS4_181003_453_A01,nms_fail
0.5,PAS4_181011_451_A01,nms_fail
0.49,PAS4_181015_451_A01,nms_fail
